ciudad,codigo,UE,A111A,H001A,J000A,A121A,Q000A,Q000B,A700A,A131A
01001,31-33,3399,110191.617,54681.0,6299.288,91932.939,55640.568,3718.783,93464.304,18258.678
01001,311,941,12738.078,7521.0,448.069,10346.542,3214.555,207.727,10474.543,2391.536
01001,3114,16,940.592,945.0,76.403,683.241,241.573,16.747,718.716,257.351
01001,3115,167,5738.795,1784.0,82.134,4596.63,1761.915,103.573,4646.787,1142.165
01001,31151,56,5651.02,1396.0,74.63,4553.159,1721.999,100.154,4602.004,1097.861
01001,3116,11,2398.91,1218.0,162.637,2111.288,482.306,35.765,2139.706,287.622
01001,31161,11,2398.91,1218.0,162.637,2111.288,482.306,35.765,2139.706,287.622
01001,311612,3,,,,,,,,
01001,311613,5,,,,,,,,
01001,3118,663,665.158,2794.0,86.336,429.499,262.26,21.476,435.069,235.659
01001,31181,302,,,,,,,,
01001,311812,302,,,,,,,,
01001,31183,348,258.503,1018.0,21.933,165.664,115.041,10.392,167.532,92.839
01001,3119,48,94.769,246.0,8.036,67.834,19.958,2.29,69.446,26.935
01001,31192,2,,,,,,,,
01001,312,132,2133.87,2370.0,256.201,1608.805,1214.732,64.67,1723.929,525.065
01001,3121,132,2133.87,2370.0,256.201,1608.805,1214.732,64.67,1723.929,525.065
01001,31211,130,,,,,,,,
01001,325,27,51.437,131.0,5.354,43.556,47.624,3.762,43.932,7.881
01001,3254,5,,,,,,,,
01001,327,85,464.27,557.0,32.613,353.766,205.121,15.086,360.252,110.504
01001,3273,20,268.131,232.0,19.149,204.638,40.875,4.349,210.612,63.493
01001,3274,15,,,,,,,,
01001,331,3,,,,,,,,
01001,3312,1,,,,,,,,
01001,33122,1,,,,,,,,
01001,43,1442,5544.714,13092.0,897.37,2483.103,2518.947,241.346,18232.685,3061.611
01001,431,321,2121.007,5251.0,301.708,1315.576,901.318,85.656,8172.499,805.431
01001,4311,294,1867.012,4584.0,233.465,836.99,662.639,49.355,7205.249,1030.022
01001,43111,44,152.841,506.0,30.081,68.243,50.999,5.373,2078.178,84.598
01001,43112,24,277.535,828.0,14.282,132.396,146.48,10.602,1433.81,145.139
01001,431121,17,224.635,725.0,12.604,104.127,110.268,6.916,1106.691,120.508
01001,431122,6,,,,,,,,
01001,43113,145,,,,,,,,
01001,43114,7,84.616,33.0,0.651,24.455,16.505,0.398,550.954,60.161
01001,43116,18,358.846,769.0,54.887,171.342,246.988,14.626,929.345,187.504
01001,43117,4,28.153,296.0,25.523,19.057,12.293,0.525,153.709,9.096
01001,4312,27,253.995,667.0,68.243,478.586,238.679,36.301,967.25,-224.591
01001,43121,23,228.071,587.0,58.293,471.026,194.029,31.782,916.533,-242.955
01001,431211,12,,,,,,,,
01001,433,98,,,,,,,,
01001,4331,32,217.92,318.0,13.353,192.184,77.394,5.856,994.504,25.736
01001,46,14405,8466.542,46390.0,1174.063,3304.429,4804.933,390.724,30852.028,5162.113
01001,461,6113,1387.986,13267.0,158.975,375.671,626.311,54.985,3433.325,1012.315
01001,4611,5728,1239.523,12345.0,129.233,320.633,588.15,50.651,3108.951,918.89
01001,46111,3497,541.137,6854.0,22.432,121.231,275.855,22.333,1226.571,419.906
01001,46112,543,231.735,1616.0,47.923,51.435,98.211,9.96,522.571,180.3
01001,461121,424,193.098,1315.0,40.056,42.908,78.484,8.659,435.118,150.19
01001,461122,92,,,,,,,,
01001,46113,645,202.134,1490.0,12.483,50.194,81.782,6.516,380.424,151.94
01001,46115,105,56.489,343.0,9.559,32.4,31.549,2.303,309.328,24.089
01001,4612,385,148.463,922.0,29.742,55.038,38.161,4.333,324.374,93.425
01001,46121,379,147.974,913.0,29.566,54.665,38.108,4.328,323.257,93.309
01001,461213,44,40.94,110.0,0.832,14.103,3.787,0.393,52.606,26.837
01001,462,319,,,,,,,,
01001,4621,303,,,,,,,,
01001,46211,303,,,,,,,,
01001,464,594,512.817,2617.0,95.283,219.038,221.489,12.662,1585.188,293.779
01001,4641,594,512.817,2617.0,95.283,219.038,221.489,12.662,1585.188,293.779
01001,46411,452,473.285,2235.0,83.547,198.929,167.633,7.1,1489.993,274.356
01001,467,961,671.174,3338.0,125.751,210.569,452.018,36.15,2033.366,460.605
01001,4671,961,671.174,3338.0,125.751,210.569,452.018,36.15,2033.366,460.605
01001,48-49,150,2652.839,4867.0,460.609,1683.637,1714.136,225.972,1738.463,969.202
01001,485,34,662.185,1946.0,120.228,389.561,745.613,102.677,399.598,272.624
01001,4852,7,,,,,,,,
02002,31-33,2066,64212.874,73763.0,10018.325,42950.679,19775.394,1467.867,45093.383,21262.195
02002,311,629,11367.908,7411.0,611.267,7841.319,4013.787,270.883,8119.582,3526.589
02002,3114,3,110.709,410.0,22.864,83.258,197.198,18.945,93.676,27.451
02002,3115,39,617.044,727.0,64.22,414.109,357.589,22.298,470.99,202.935
02002,31151,10,595.861,633.0,61.592,402.369,346.256,21.337,459.104,193.492
02002,3116,8,,,,,,,,
02002,31161,8,,,,,,,,
02002,311613,5,,,,,,,,
02002,3118,545,3539.448,3072.0,232.577,1743.319,639.327,30.318,1775.653,1796.129
02002,31181,288,2324.419,2034.0,184.344,987.875,304.748,15.554,989.582,1336.544
02002,311811,2,,,,,,,,
02002,311812,286,,,,,,,,
02002,31183,254,,,,,,,,
02002,3119,20,1352.874,1093.0,170.083,1038.362,873.698,36.649,1040.0,314.512
02002,31192,1,,,,,,,,
02002,312,228,1199.549,1422.0,64.781,724.727,648.628,58.809,750.119,474.822
02002,3121,227,,,,,,,,
02002,31211,225,,,,,,,,
02002,325,19,961.304,4123.0,443.855,397.039,311.889,35.321,401.604,564.265
02002,3254,2,,,,,,,,
02002,327,97,3779.783,2998.0,238.463,3137.168,3570.758,281.684,3559.62,642.615
02002,3273,29,705.817,554.0,52.6,518.425,280.459,23.585,534.131,187.392
02002,3274,19,,,,,,,,
02002,331,7,,,,,,,,
02002,3312,4,,,,,,,,
02002,33122,2,,,,,,,,
02002,43,1007,5466.053,12199.0,973.838,2142.184,3361.704,297.014,18873.876,3323.869
02002,431,149,2352.704,4694.0,320.337,999.222,927.876,85.623,7675.771,1353.482
02002,4311,132,2052.754,3956.0,300.369,864.755,605.698,48.676,6958.063,1187.999
02002,43111,25,289.72,613.0,67.228,152.288,68.009,6.768,1686.269,137.432
02002,43112,12,,,,,,,,
02002,431121,8,,,,,,,,
02002,431122,2,,,,,,,,
02002,43113,42,312.123,1295.0,61.219,129.142,128.798,15.134,1286.851,182.981
02002,43114,5,174.21,90.0,3.456,71.196,92.582,1.912,707.433,103.014
02002,43116,5,144.497,246.0,1.4,48.432,32.489,1.389,336.046,96.065
02002,43117,4,,,,,,,,
02002,4312,17,299.95,738.0,19.968,134.467,322.178,36.946,717.708,165.483
02002,43121,16,,,,,,,,
02002,431211,9,88.642,221.0,19.618,44.157,38.226,2.443,220.306,44.485
02002,433,66,173.576,512.0,31.42,93.636,49.792,6.35,731.147,79.94
02002,4331,24,21.674,149.0,7.377,45.875,5.649,1.118,78.755,-24.201
02002,46,10083,8483.294,39465.0,1105.822,3318.338,5864.232,472.955,29526.202,5164.956
02002,461,4402,1547.674,11465.0,215.756,531.75,969.336,87.006,5292.311,1015.924
02002,4611,3771,1339.319,9801.0,176.179,429.428,828.987,73.356,4763.688,909.891
02002,46111,2548,568.669,5729.0,72.524,157.294,372.007,31.655,1357.929,411.375
02002,46112,120,426.376,1209.0,20.662,151.441,302.87,26.981,1855.574,274.935
02002,461121,76,407.423,1077.0,16.533,145.101,291.227,25.807,1812.268,262.322
02002,46113,140,186.302,989.0,50.523,68.834,73.695,8.255,1275.494,117.468
02002,46115,6,5.846,22.0,2.004,1.942,0.868,0.081,7.36,3.904
02002,4612,631,208.355,1664.0,39.577,102.322,140.349,13.65,528.623,106.033
02002,46121,630,,,,,,,,
02002,461213,345,52.651,787.0,13.555,13.674,31.614,3.177,63.801,38.977
02002,462,574,2778.003,8327.0,178.894,1398.239,2259.719,172.902,10977.366,1379.764
02002,4621,552,2378.319,6756.0,126.334,1285.975,1982.747,159.288,10298.476,1092.344
02002,46211,552,2378.319,6756.0,126.334,1285.975,1982.747,159.288,10298.476,1092.344
02002,464,539,624.695,2582.0,126.578,203.399,294.028,15.61,1419.386,421.296
02002,4641,539,624.695,2582.0,126.578,203.399,294.028,15.61,1419.386,421.296
02002,46411,451,591.434,2343.0,119.531,190.522,282.565,13.991,1366.368,400.912
02002,467,466,,,,,,,,
02002,4671,466,,,,,,,,
02002,48-49,189,2284.343,5063.0,523.946,1371.48,1517.125,181.576,1456.524,912.863
02002,485,16,220.732,755.0,46.804,144.978,252.569,37.428,154.348,75.754
02002,4852,5,,,,,,,,
02004,31-33,3351,90802.068,202114.0,22048.261,53258.93,21634.081,1493.584,55033.464,37543.138
02004,311,906,4652.649,7245.0,617.758,3124.951,951.073,70.959,3255.59,1527.698
02004,3114,6,7.734,36.0,2.378,3.395,4.37,0.449,3.971,4.339
02004,3115,113,452.127,1217.0,98.518,469.72,207.359,12.99,530.372,-17.593
02004,31151,37,393.515,990.0,90.444,443.069,184.762,11.055,503.218,-49.554
02004,3116,10,660.067,696.0,89.081,591.452,108.507,5.942,599.633,68.615
02004,31161,10,660.067,696.0,89.081,591.452,108.507,5.942,599.633,68.615
02004,311612,1,,,,,,,,
02004,311613,5,,,,,,,,
02004,3118,744,2773.967,4315.0,284.274,1458.952,393.891,30.197,1477.983,1315.015
02004,31181,425,1922.662,2250.0,162.883,886.186,199.433,10.657,889.262,1036.476
02004,311811,3,,,,,,,,
02004,311812,422,,,,,,,,
02004,31183,314,552.707,1678.0,66.278,313.449,99.083,9.103,317.48,239.258
02004,3119,21,239.859,416.0,67.01,223.188,143.442,16.303,225.255,16.671
02004,31192,3,,,,,,,,
02004,312,284,4642.58,3222.0,332.491,3870.007,642.506,111.217,3922.582,772.573
