"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 17/09/2026 10:13:35",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","FIILLER, INTEGRAL, CENTENO, BOLSA DE 450 GR","74.44","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","WONDER, BLANCO, SUPER PAN, BOLSA DE 567 GR","46.72","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, TOSTADO, BOLSA DE 210 GR","81.07","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","005","WONDER, BLANCO, SUPER PAN, BOLSA DE 567 GR","48.15","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","006","BIMBO, INTEGRAL, BOLSA DE 750 GR","34.67","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","007","BIMBO, BLANCO, BOLSA DE 680 GR","35.51","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","008","BIMBO, BLANCO, BOLSA DE 650 GR","37.49","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","009","BIMBO, BLANCO, BOLSA DE 640 GR","37.5","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","010","BIMBO, INTEGRAL, BOLSA DE 680 GR","41.18","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","011","WONDER, INTEGRAL, SELECT, C/AJONJOLI, BOLSA DE 567 GR","45.86","1","KG",""
