clave,generico,unidad,cantidad
1,Arroz,KG,1
2,Botanas elaboradas con cereales,KG,1
3,Cereales en hojuelas,KG,1
4,Galletas,KG,1
5,Harinas de trigo,KG,1
6,Maíz,KG,1
7,Masa y harinas de maíz,KG,1
8,Pan blanco,PZA,1
9,Pan de caja,KG,1
10,Pan dulce,PZA,1
11,Pasta para sopa,KG,1
12,"Pasteles, pastelillos y pan dulce empaquetado",KG,1
13,Pastelillos y pasteles a granel,PZA,1
14,Tortilla de maíz,KG,1
15,Tortillas de harina de trigo,KG,1
16,Tostadas,KG,1
17,Carne de cerdo,KG,1
18,Carne de res,KG,1
19,"Carnes secas, procesadas y otros embutidos",KG,1
20,Chorizo,KG,1
21,Jamón,KG,1
22,Pollo,KG,1
23,Salchichas,KG,1
24,Tocino,KG,1
25,Vísceras de res,KG,1
26,Atún y sardina en lata,KG,1
27,Camarón,KG,1
28,Otros mariscos,KG,1
29,Otros pescados y mariscos en conserva,KG,1
30,Pescado,KG,1
31,Crema y otros productos a base de leche,LT,1
32,Huevo,KG,1
33,Leche de soya,LT,1
34,Leche en polvo,KG,1
35,"Leche evaporada, condensada y maternizada",KG,1
36,Leche pasteurizada y fresca,LT,1
37,Otros quesos,KG,1
38,Queso amarillo,KG,1
39,Queso fresco,KG,1
40,Queso manchego y Chihuahua,KG,1
41,Queso Oaxaca y asadero,KG,1
42,Yogurt,KG,1
43,Aceites y grasas vegetales comestibles,LT,1
44,Manteca de cerdo,KG,1
45,Mantequilla,KG,1
46,Aguacate,KG,1
47,Durazno,KG,1
48,Guayaba,KG,1
49,Limón,KG,1
50,Manzana,KG,1
51,Melón,PZA,1
52,Naranja,KG,1
53,Otras conservas de frutas,KG,1
54,Otras frutas,KG,1
55,Papaya,KG,1
56,Pera,KG,1
57,Piña,PZA,1
58,Plátanos,KG,1
59,Sandía,KG,1
60,Uva,KG,1
61,Calabacita,KG,1
62,Cebolla,KG,1
63,Chayote,KG,1
64,Chile poblano,KG,1
65,Chile seco,KG,1
66,Chile serrano,KG,1
67,Chiles envasados,KG,1
68,Ejotes,KG,1
69,Frijol,KG,1
70,Frijol procesado,KG,1
71,Jitomate,KG,1
72,Lechuga y col,PZA,1
73,Nopales,PZA,1
74,Otras legumbres secas,KG,1
75,Otras verduras y legumbres,PZA,1
76,Otros chiles frescos,KG,1
77,Papa y otros tubérculos,KG,1
78,Papas fritas,KG,1
79,Pepino,KG,1
80,Tomate verde,KG,1
81,Verduras envasadas,KG,1
82,Zanahoria,KG,1
83,Azúcar,KG,1
84,Chocolate y productos de confitería,KG,1
85,"Gelatina, miel y mermeladas",KG,1
86,"Helados, nieves y paletas de hielo",LT,1
87,Alimentos para bebé,KG,1
88,Concentrados de pollo y sal,KG,1
89,Gelatina en polvo,KG,1
90,Mayonesa y mostaza,KG,1
91,Moles y salsas,LT,1
92,Otros condimentos,LT,1
93,Sopas instantáneas y puré de tomate,KG,1
94,Café soluble,KG,1
95,Café tostado,KG,1
96,Chocolate líquido y para preparar bebida,KG,1
97,Té,KG,1
98,Agua embotellada,LT,1
99,Concentrados para refrescos,SOBRE,1
100,Jugos o néctares envasados,LT,1
101,Refrescos envasados,LT,1
102,Brandy,LT,1
103,Otros licores,LT,1
104,Ron,LT,1
105,Tequila,LT,1
106,Vino de mesa,LT,1
107,Cerveza,LT,1
108,Cigarrillos,CAJETI,1
109,Blusas y playeras para mujer,PZA,1
110,"Calcetas, medias y pantimedias",PAQ,1
111,Calcetines y calcetas para hombre,PAR,1
112,Calcetines y calcetas para niños,PAR,1
113,Camisas y playeras para hombre,PZA,1
114,Camisas y playeras para niños,PAQ,1
115,Camisetas para bebés,PZA,1
116,Otras prendas de vestir para hombre,JGO,1
117,Otras prendas de vestir para mujer,PZA,1
118,Pantalones para hombre,PZA,1
119,Pantalones para mujer,PZA,1
120,Pantalones para niño,PZA,1
