ciudad,generico,unidad,tipo,n,precio_mediano
"Acapulco, Gro.",Refrescos envasados,LT,lata,4,39.44
"Acapulco, Gro.",Refrescos envasados,LT,otro,28,23.0
"Acapulco, Gro.",Transporte aéreo,VIAJE,internacional,4,27380.92
"Acapulco, Gro.",Transporte aéreo,VIAJE,nacional,12,1763.525
"Aguascalientes, Ags.",Refrescos envasados,LT,otro,40,13.3
"Aguascalientes, Ags.",Transporte aéreo,VIAJE,nacional,16,2391.0
"Campeche, Camp.",Refrescos envasados,LT,lata,4,33.83
"Campeche, Camp.",Refrescos envasados,LT,otro,40,25.655
"Campeche, Camp.",Transporte aéreo,VIAJE,internacional,4,8902.125
"Campeche, Camp.",Transporte aéreo,VIAJE,nacional,12,3480.0
"Cd. Acuña, Coah.",Refrescos envasados,LT,otro,24,14.4
"Cd. Acuña, Coah.",Transporte aéreo,VIAJE,nacional,8,5174.25
"Cd. Juárez, Chih.",Refrescos envasados,LT,lata,4,33.834999999999994
"Cd. Juárez, Chih.",Refrescos envasados,LT,otro,16,18.365
"Cd. Juárez, Chih.",Transporte aéreo,VIAJE,nacional,16,2398.375
"Chetumal, Q. Roo.",Refrescos envasados,LT,otro,24,27.42
"Chetumal, Q. Roo.",Transporte aéreo,VIAJE,internacional,4,10885.89
"Chetumal, Q. Roo.",Transporte aéreo,VIAJE,nacional,4,2754.625
"Chihuahua, Chih.",Refrescos envasados,LT,otro,20,21.0
"Chihuahua, Chih.",Transporte aéreo,VIAJE,internacional,4,2077.375
"Chihuahua, Chih.",Transporte aéreo,VIAJE,nacional,12,3266.5
"Colima, Col.",Refrescos envasados,LT,otro,36,22.5
"Colima, Col.",Transporte aéreo,VIAJE,nacional,16,1581.0
"Cortazar, Gto.",Refrescos envasados,LT,otro,36,24.17
"Cortazar, Gto.",Transporte aéreo,VIAJE,nacional,8,2196.75
"Cuernavaca, Mor.",Refrescos envasados,LT,otro,28,11.5
"Cuernavaca, Mor.",Transporte aéreo,VIAJE,nacional,16,2893.75
"Culiacán, Sin.",Refrescos envasados,LT,lata,4,37.14
"Culiacán, Sin.",Refrescos envasados,LT,otro,44,24.17
"Culiacán, Sin.",Transporte aéreo,VIAJE,nacional,16,1589.4650000000001
"Córdoba, Ver.",Refrescos envasados,LT,otro,36,21.67
"Córdoba, Ver.",Transporte aéreo,VIAJE,internacional,4,23520.0
"Córdoba, Ver.",Transporte aéreo,VIAJE,nacional,12,1819.75
