ciudad,generico,clave,unidad,n,precio_mediano
"Acapulco, Gro.",Autobús foráneo,280,VIAJE,16,435.0
"Acapulco, Gro.",Carne de res,18,KG,136,101.61500000000001
"Acapulco, Gro.",Huevo,42,PAQ,24,32.525
"Acapulco, Gro.",Jitomate,58,KG,56,15.15
"Acapulco, Gro.",Leche pasteurizada y fresca,30,LT,40,14.25
"Acapulco, Gro.",Manzana,44,KG,32,31.715
"Acapulco, Gro.",Pan blanco,6,PZA,24,1.4
"Acapulco, Gro.",Pan de caja,7,KG,16,45.86
"Acapulco, Gro.",Pollo,16,KG,36,39.5
"Acapulco, Gro.",Pollo,16,PZA,12,24.0
"Acapulco, Gro.",Refrescos envasados,87,LT,40,13.75
"Acapulco, Gro.",Tortilla de maíz,1,KG,80,14.0
"Acapulco, Gro.",Transporte aéreo,281,VIAJE,16,1447.81
"Aguascalientes, Ags.",Autobús foráneo,280,VIAJE,16,437.5
"Aguascalientes, Ags.",Carne de res,18,KG,136,116.0
"Aguascalientes, Ags.",Huevo,42,KG,16,25.75
"Aguascalientes, Ags.",Huevo,42,PAQ,8,45.525
"Aguascalientes, Ags.",Jitomate,58,KG,56,12.5
"Aguascalientes, Ags.",Leche pasteurizada y fresca,30,LT,40,11.5
"Aguascalientes, Ags.",Manzana,44,KG,32,23.015
"Aguascalientes, Ags.",Pan blanco,6,PZA,24,3.5
"Aguascalientes, Ags.",Pan de caja,7,KG,16,43.269999999999996
"Aguascalientes, Ags.",Pollo,16,KG,48,40.375
"Aguascalientes, Ags.",Refrescos envasados,87,LT,40,12.0
"Aguascalientes, Ags.",Tortilla de maíz,1,KG,80,12.0
"Aguascalientes, Ags.",Transporte aéreo,281,VIAJE,16,1697.92
"Campeche, Camp.",Autobús foráneo,280,VIAJE,16,314.0
"Campeche, Camp.",Carne de res,18,KG,136,119.5
"Campeche, Camp.",Huevo,42,DOCENA,4,21.950000000000003
"Campeche, Camp.",Huevo,42,PAQ,20,34.135
"Campeche, Camp.",Jitomate,58,KG,56,16.025
"Campeche, Camp.",Leche pasteurizada y fresca,30,LT,40,15.125
"Campeche, Camp.",Manzana,44,KG,32,33.2
"Campeche, Camp.",Pan blanco,6,PZA,24,3.0
"Campeche, Camp.",Pan de caja,7,KG,16,39.485
"Campeche, Camp.",Pollo,16,KG,48,44.675
"Campeche, Camp.",Refrescos envasados,87,LT,40,13.0
"Campeche, Camp.",Tortilla de maíz,1,KG,80,14.5
"Campeche, Camp.",Transporte aéreo,281,VIAJE,16,2136.5
"Cd. Acuña, Coah.",Autobús foráneo,280,VIAJE,8,853.5
"Cd. Acuña, Coah.",Carne de res,18,KG,68,98.5
"Cd. Acuña, Coah.",Huevo,42,KG,4,25.55
"Cd. Acuña, Coah.",Huevo,42,PAQ,8,47.59
"Cd. Acuña, Coah.",Jitomate,58,KG,28,14.925
"Cd. Acuña, Coah.",Leche pasteurizada y fresca,30,LT,20,13.57
"Cd. Acuña, Coah.",Manzana,44,KG,16,23.58
"Cd. Acuña, Coah.",Pan blanco,6,PZA,12,1.3
"Cd. Acuña, Coah.",Pan de caja,7,KG,8,42.425000000000004
"Cd. Acuña, Coah.",Pollo,16,KG,24,41.4
"Cd. Acuña, Coah.",Refrescos envasados,87,LT,20,10.06
"Cd. Acuña, Coah.",Tortilla de maíz,1,KG,40,14.0
"Cd. Acuña, Coah.",Transporte aéreo,281,VIAJE,8,2781.625
"Cd. Juárez, Chih.",Autobús foráneo,280,VIAJE,16,700.5
"Cd. Juárez, Chih.",Carne de res,18,KG,136,106.575
"Cd. Juárez, Chih.",Huevo,42,DOCENA,4,26.005
"Cd. Juárez, Chih.",Huevo,42,PAQ,20,44.515
